Model,Group,Rows,Min,Max,Mean,Median,P90,P95,P99
Random Forest,val_normal,199017,0.0,0.9197123377739739,0.048093390312647144,0.0,0.27040340446829797,0.27752943833193944,0.5807528502848605
XGBoost,val_normal,199017,9.775296348379925e-05,0.9908128380775452,0.025794899091124535,0.0004477640031836927,0.005328372586518526,0.014554613269865513,0.8981770277023315
Random Forest,val_positive,182,0.0,0.31599340231316636,0.05453127067713392,0.013205578178096877,0.22362964267001811,0.2566873265280936,0.2946825789833728
XGBoost,val_positive,182,0.000247161922743544,0.41367942094802856,0.011577323079109192,0.0020253127440810204,0.021354593336582184,0.04301078990101814,0.15766584873199463
Random Forest,test_normal,441799,0.0,0.9063589144301816,0.017439736108485333,0.0,0.019751795189641617,0.0857691301502992,0.4894331764829603
XGBoost,test_normal,441799,0.00010946661495836452,0.9956902861595154,0.011470941826701164,0.0004263517039362341,0.003087088465690613,0.009225217625498772,0.4736332893371582
Random Forest,test_positive,181,0.0,0.013189023346833171,0.002102432620720697,0.0,0.013179417976290188,0.013179417976290188,0.013179417976290188
XGBoost,test_positive,181,0.00026470760349184275,0.0030695830937474966,0.000436437432654202,0.00036456974339671433,0.0007223811699077487,0.0007702359580434859,0.001348460908047855
